"Category","Driver","Variable","Name"
"biology","biomass","Pseudocalanus acuspes (AF) [ind/m3]",
"biology","biomass","Pseudocalanus minutus (AF) [ind/m3]",
"biology","biomass","Pseudocalanus spp. (AM) [ind/m3]",
"biology","biomass","Pseudocalanus spp. (CI) [ind/m3]",
"biology","biomass","Pseudocalanus spp. (CII) [ind/m3]",
"biology","biomass","Pseudocalanus spp. (CIII) [ind/m3]",
"biology","biomass","Pseudocalanus spp. (CIV) [ind/m3]",
"biology","biomass","Pseudocalanus spp. (CV) [ind/m3]",
"biology","biomass","Pseudochirella spectabilis [ind/m3]",
"biology","biomass","Pseudomma truncatum [ind/m3]",
"biology","biomass","Rhincalanus nasutus [ind/m3]",
"biology","biomass","Sabinea septemcarinata (zoea) [ind/m3]",
"biology","biomass","Sarsia sp. [ind/m3]","Sarsia sp."
"biology","biomass","Scaphocalanus brevicornis [ind/m3]",
"biology","biomass","Scina borealis [ind/m3]",
"biology","biomass","Scyphozoa (larvae) [ind/m3]",
"biology","biomass","Siphonophora [ind/m3]","Siphonophora"
"biology","biomass","Spinocalanus horridus [ind/m3]",
"biology","biomass","Spinocalanus longicornis [ind/m3]",
"biology","biomass","Spinocalanus spp. [ind/m3]","Spinocalanus spp."
"biology","biomass","Tanaidacea [ind/m3]","Tanaidacea"
"biology","biomass","Temorites brevis [ind/m3]",
"biology","biomass","Tharybidae [ind/m3]","Tharybidae"
"biology","biomass","Tharybis groenlandicus [ind/m3]",
"biology","biomass","Tomopteris helgolandica [ind/m3]",
"biology","biomass","Tomopteris spp. [ind/m3]","Tomopteris spp."
"biology","biomass","Triconia borealis (AF/AM) [ind/m3]",
"biology","biomass","Triconia conifera [ind/m3]",
"biology","biomass","Triconia/Oncaea spp. (CI-CV) [ind/m3]",
"biology","biomass","Typhloscolecidae [ind/m3]",
"biology","biomass","Undinella oblonga [ind/m3]",
"biology","biomass","Xantharus siedleckii [ind/m3]",
"biology","biomass","Alexandrium sp. [cells/l]","Alexandrium sp."
"biology","biomass","Amphidinium crassum [cells/l]",
